timestamp,symbol,side,order_id,price,amount,amount_usd,fee,fee_currency
2026-04-07T05:06:52-0700,TRUMP-USD,sell,OQWZSF-LHM4V-G5BDV4,2.79,8.87468,24.760357199999998,0.09904,USD
2026-04-07T05:09:54-0700,DASH-USD,buy,OLIL6V-FJCNQ-EXDRFI,30.343,0.8259548,25.0,0.100251,USD
2026-04-07T15:01:18-0700,ZEC-USD,sell,OLXHHH-5MLZI-SLHHMG,306.12,0.06424954,19.668069184799997,0.07867,USD
2026-04-07T17:54:32-0700,DASH-USD,sell,OOAHKM-EARN3-WEIIRL,32.672,0.8259548,26.985595225599997,0.107946,USD
2026-04-08T05:05:27-0700,SOL-USD,buy,O2XPFW-7ZSRB-BJ7IVX,84.45,0.08470075,7.1521314900642095,0.02861,USD
2026-04-08T05:05:40-0700,TAO-USD,buy,OIRRFE-HJIFV-GXYBUD,343.692,0.03946,13.55605294856195,0.05424838,USD
2026-04-08T09:10:06-0700,TAO-USD,sell,OIWK5A-2J5N4-K6JDUI,336.0848,0.03946,13.261906208,0.05304767,USD
2026-04-01T22:49:12.902Z,ETH-USD,buy,OARXK2-TMYMY-CAN42M,2143.35,0.00664415,14.24074,0.05696,USD
2026-04-01T22:49:17.988Z,ETH-USD,sell,OPH2JK-6GOBN-WJOEFU,2142.64,0.00664415,14.23602,0.05694,USD
2026-04-01T22:49:23.000Z,RENDER-USD,buy,OKCLXC-BFFQJ-XGXC4J,1.764,14.21262,25.0710617,0.1002842,USD
2026-04-01T22:49:26.518Z,RENDER-USD,sell,O4Q4BI-YJTIO-ESHCE5,1.762,14.21262,25.0426364,0.1001705,USD
2026-04-02T00:02:44.041Z,ETH-USD,buy,OPVU5V-O23PL-KSBLMK,2137.16,0.00665175,14.21585,0.05686,USD
2026-04-02T00:02:47.406Z,ETH-USD,sell,OL463K-NALCT-HSUD4I,2137.67,0.00665175,14.21925,0.05688,USD
2026-04-02T00:02:52.423Z,RENDER-USD,buy,OMJT2Y-YMI6I-J2R5YM,1.762,14.18842,24.999996,0.1,USD
2026-04-02T00:02:55.793Z,RENDER-USD,sell,OTM5B4-7IMP2-MJRO3F,1.76,14.18842,24.9716192,0.0998865,USD
2026-04-02T00:27:18.290Z,ETH-USD,buy,OIQCLB-L4ZCP-KRTC5S,2138.97,0.00663823,14.19897,0.0568,USD
2026-04-02T00:27:21.638Z,ETH-USD,sell,OXLYHP-WIZDE-PBGQMY,2138.9,0.00663823,14.19851,0.05679,USD
2026-04-02T00:27:28.872Z,RENDER-USD,buy,OZQG4K-7Y2KM-EVXUAW,1.776,14.06074,24.9718742,0.0998875,USD
2026-04-02T00:27:31.938Z,RENDER-USD,sell,OXIHD6-VU46F-CL4AB3,1.774,14.06074,24.9437528,0.099775,USD
2026-04-02T01:05:04.222Z,XRP-USD,sell,O2AXIL-QUJ5W-UCTZR4,1.34278,3.10564077,4.17019231,0.01668077,USD
2026-04-02T04:02:45.705Z,ETH-USD,buy,OILHDH-SJ4LG-LULFIV,2056.79,0.00689182,14.17503,0.0567,USD
2026-04-02T04:02:49.056Z,ETH-USD,sell,O5BGLZ-NPOGW-YPH4F4,2056.13,0.00689182,14.17048,0.05668,USD
2026-04-02T04:02:54.372Z,RENDER-USD,buy,OPTS5X-QSL6K-F6EZWY,1.718,14.56876,25.0291297,0.1001165,USD
2026-04-02T04:02:57.448Z,RENDER-USD,sell,O4Q76X-PP454-F2JKI6,1.716,14.56876,24.9999922,0.1,USD
2026-04-02T04:20:43.780Z,ETH-USD,buy,OUKZLQ-JVYL3-AYPSDR,2053.5,0.00689295,14.15467,0.05662,USD
2026-04-02T05:53:41.342Z,XCN-USD,buy,OWUREA-WZT5W-XGIMSD,0.0047,5319.1489,24.99999983,0.099999999,USD
2026-04-02T12:02:37.385Z,ETH-USD,sell,OC3WAB-EIN5T-2EJ64E,2029.87,0.00689295,13.99179,0.05597,USD
2026-04-02T12:02:49.550Z,SUI-USD,buy,O2Y3LR-X5UK5-5ILMQ4,0.8499,6.06466,5.15435454,0.02061741,USD
2026-04-02T12:02:56.864Z,XCN-USD,sell,OVL3JB-4STHH-I6VT3X,0.0047,5319.1489,24.99999983,0.099999999,USD
2026-04-02T16:02:43.491Z,ETH-USD,buy,OHLIEF-NCEME-PQ2LYB,2059.71,0.00685908,14.12772,0.05651,USD
2026-04-02T16:02:51.728Z,TRUMP-USD,buy,OZNP6K-PC642-BMFO6U,2.82,8.87468,25.0266,0.10011,USD
2026-04-02T16:03:00.931Z,XCN-USD,buy,OCMYUR-FWWZF-7LTQIA,0.00476,5263.1578,25.052631128,0.100210525,USD
2026-04-02T17:45:25.605Z,VIRTUAL-USD,buy,OEG7FY-EBEGU-YIQBPF,0.6322,39.26495,24.8233,0.09929,USD
2026-04-02T17:45:33.115Z,XCN-USD,sell,OKG5P7-KVUX5-BUZ6G3,0.00473,5263.1578,24.894736394,0.099578946,USD
2026-04-02T18:08:40.576Z,SUI-USD,sell,OX3JT3-FRN4K-SXFA3A,0.8509,6.06466,5.16041919,0.02064168,USD
2026-04-02T22:59:13.996Z,DOGE-USD,buy,OFNJPL-NFGSL-ZH27AH,0.090496,142.37527372,12.884392771,0.051537571,USD
2026-04-02T22:59:34.362Z,XRP-USD,buy,OX4QG7-4VWID-I6D24Y,1.31833,5.48110845,7.2259097,0.02890364,USD
2026-04-02T22:59:43.555Z,AVAX-USD,buy,OEFGVY-CH3SV-XS4K6I,8.75,2.85714285,25.0,0.1,USD
2026-04-02T22:59:52.783Z,PENGU-USD,buy,OHSM3Q-7UPSR-GP56A5,0.006225,4013.4853,24.98395,0.09994,USD
2026-04-03T08:02:46.599Z,DOGE-USD,sell,OIS7CD-M5SK2-LLKJJW,0.091224,142.37527372,12.98804197,0.051952168,USD
2026-04-03T08:03:06.663Z,LINK-USD,buy,OUOU2K-5YUY2-DJZDPG,8.71345,1.66953103,14.547375,0.05819,USD
2026-04-03T18:52:07.901Z,VIRTUAL-USD,sell,OOZEAU-RUWRU-MPTI6E,0.6389,39.26495,25.08638,0.10035,USD
2026-04-04T04:03:00.421Z,PEPE-USD,buy,OLWUB7-ETMPT-OH7W3I,3.374e-06,2036355.04,6.87066,0.02748,USD
2026-04-05T02:02:10.488Z,PEPE-USD,sell,O4SLUI-5RDDB-GZXUWS,3.368e-06,2036355.04,6.85844,0.02743,USD
2026-04-05T06:13:08.114Z,LINK-USD,sell,OV3EYV-HFTD2-SLBRYY,8.54701,1.66953103,14.269498,0.057078,USD
2026-04-05T08:02:49.734Z,ETH-USD,sell,OR5ANC-4V2MM-N2F6O5,2036.65,0.00685908,13.96955,0.05588,USD
2026-04-05T08:03:01.760Z,ZEC-USD,buy,O34DRU-HXMUO-GSXQF2,244.58,0.06424954,15.71415,0.06286,USD
2026-04-05T12:47:03.291Z,XRP-USD,sell,OSVVQN-KZNVD-2HPNJU,1.2786,5.48110845,7.00814526,0.02803258,USD
2026-04-06T20:02:56.664Z,BNB-USD,buy,O7VSUD-72NRN-ZZR5M3,606.68,0.04119,24.98915,0.09996,USD
